ID,AUC,ST
1287667,1.72312397,2
1287669,1.26017408,-
1287670,0.85909198,-
1287671,0.02942837,2
1287673,0.07087744,16
1287674,0.26464361,89
1287677,1.4114326,5
1287678,0.93554458,-
1287679,0.15996236,-
1287680,0.21171489,-
1287681,0.84144907,23
1287682,0.14055516,-
1287683,1.91719595,5
1287685,3.77087744,5
1287686,0.87038344,73
1287687,0.56457304,83
1287689,0.6304399,291
1287690,1.32321807,218
1287693,0.52411197,-
1287695,0.25876264,83
1287696,0.6045082,83
1287697,0.56147541,5
1287699,0.00051276,5
1287700,0.52254098,2
1287701,0.64036885,5
1287702,0.32581967,2
1287703,1.45491803,5
1287704,0.94057377,57
1287705,0.59733607,2
1287706,1.00819672,-
1287707,0.50717213,218
1287708,1.07581967,2
1287709,1.2397541,22
1287710,0.76844262,2
1287711,0.51536885,-
1287712,0.88422131,5
1287713,1.42418033,83
1287714,1.2807377,5
1287716,1.38114754,5
1287717,0.87602459,-
1287720,0.47131148,16
1287721,1.64959016,5
1287722,1.53688525,-
1287723,0.09683402,2
1287724,1.04303279,2
1287725,1.01987705,2
1287726,1.83196721,2
1287728,1.09528689,2
1287729,1.59733607,2
1287730,0.36127049,-
1287731,0.4892418,83
1287733,0.46127049,2
1287734,2.07889344,5
1287736,1.12807377,5
1287737,1.7602459,2
1287739,1.33709016,173